,_id,title,keywords,fos,abstract
22830,53e99ea0b7602d970276a73a,Analysis of selection algorithms: A markov chain approach,['markov chain'],"['Population', 'Economics', 'Mathematical optimization', 'Truncation selection', 'Evolutionary algorithm', 'Markov chain', 'Algorithm', 'Fitness proportionate selection', 'Selection (genetic algorithm)', 'Tournament selection', 'Genetic algorithm']","A Markov chain framework is developed for analyzing a wide variety of selection techniques used in genetic algorithms (GAs) and evolution strategies (ESs). Specifically, we consider linear ranking selection, probabilistic binary tournament selection, deterministic s-ary (s = 3,4,...) tournament selection, fitness-proportionate selection, selection in Whitley's GENITOR, selection in (μ, λ)-ES, selection in (μ + λ)-ES, (μ, λ)-linear ranking selection in GAs, (μ + λ)-linear ranking selection in GAs, and selection in Eshelman's CHC algorithm. The analysis enables us to compare and contrast the various selection algorithms with respect to several performance measures based on the probability of takeover. Our analysis is exact---we do not make any assumptions or approximations. Finite population sizes are considered. Our approach is perfectly general, and following the methods of this paper, it is possible to analyze any selection strategy in evolutionary algorithms."
22964,53e99eaeb7602d97027794ab,Social Capital for Hire? Mobility of Technical Professionals and Firm Influence in Wireless Standards Committees,"['technical professionals', 'social capital', 'influence contingent', 'firm social capital', 'human capital', 'firm influence', 'technical standard', 'wireless standards committees', 'social capital increases firm', 'hiring firm', 'broader question', 'u.s. wireless telecommunication', 'technical standards']","['Capital call', 'Social capital', 'Individual capital', 'Economics', 'Economic capital', 'Financial capital', 'Human capital', 'Labour economics', 'Capital employed', 'Technical standard']","The movement of personnel between firms has been shown to have important implications for firms, yet there has been little direct investigation of the underlying mechanisms. We propose that in addition to their human capital, mobile individuals carry social capital, affecting the outcomes of the firms they join and leave by altering the patterns of interaction between firms. In this study, we examine how job mobility affects firm influence in a technical standards setting committee for U.S. wireless telecommunications. We hypothesize and find that hiring individuals who are richer in social capital increases firm influence in technical standards setting committees by increasing the hiring firm's social capital. We also find the benefits of hiring social capital are attenuated when an interfirm relationship is maintained by multiple individuals. In contrast, we find that the loss of personnel does not affect a firm's social capital or influence over standards directly but that it does have an effect on firm social capital and influence contingent on changes in the firm's business strategy. In advancing these arguments, we address the broader question of individuals as carriers of social capital and the conditions under which interpersonal connections are appropriable by firms."
23150,53e99ebdb7602d970278968c,Newsvendors Under Simultaneous Price and Inventory Competition,"['nash equilibrium', 'noncompetitive newsvendor', 'competitive newsvendor', 'price-sensitive newsvendor', 'pure-strategy nash equilibrium', 'higher retail price', 'price competition', 'inventory competition', 'n competitive newsvendor', 'competitive equilibrium', 'simultaneous price', 'symmetric equilibrium', 'pricing', 'pure strategy nash equilibrium', 'inventory']","['Newsvendor model', 'Economics', 'Epsilon-equilibrium', 'Price of stability', 'Best response', 'Microeconomics', 'Competitive equilibrium', 'Symmetric equilibrium', 'Nash equilibrium', 'Trembling hand perfect equilibrium']","This paper extends the theory of N competitive newsvendors to the case where competition occurs simultaneously in price and inventory. The basic research questions are whether the Nash equilibrium exists in this game, whether it is unique, and how the resulting inventories and prices are affected by competition. Using a novel method, we show the quasiconcavity of the competitive newsvendor's problem and establish the existence of the pure-strategy Nash equilibrium. Through a contraction mapping approach, we develop sufficient conditions for the Nash equilibrium to be unique. We then analyze the properties of the equilibrium and compare it with the optimal solution for the (noncompeting) price-sensitive newsvendor. We prove that at a symmetric equilibrium, retail prices and safety stocks strictly increase with the proportion of a newsvendor's unsatisfied customers that switch to a competitor, but strictly decrease with the intensity of price competition. Total inventories, on the other hand, increase with the intensity of price competition. Furthermore, the competitive equilibrium never has lower safety stocks and higher retail prices (a situation that definitely hurts the customers) than the solution for noncompetitive newsvendors."
23246,53e99ecab7602d97027922a6,An example of indifference prices under exponential preferences,"['incomplete markets', 'nonlinear asset pricing', 'indifference prices', 'incomplete market', 'diffusion process']","['Nonlinear expectation', 'Econometrics', 'Martingale (probability theory)', 'Economics', 'Mathematical finance', 'Consumption-based capital asset pricing model', 'Microeconomics', 'Nonlinear pricing', 'Risk-neutral measure', 'Indifference price', 'Arbitrage pricing theory']","The aim herein is to analyze utility-based prices and hedging strategies. The analysis is based on an explicitly solved example of a European claim written on a nontraded asset, in a model where risk preferences are exponential, and the traded and nontraded asset are diffusion processes with, respectively, lognormal and arbitrary dynamics. Our results show that a nonlinear pricing rule emerges with certainty equivalent characteristics, yielding the price as a nonlinear expectation of the derivative’s payoff under the appropriate pricing measure. The latter is a martingale measure that minimizes its relative to the historical measure entropy."
23701,53e99ef4b7602d97027bdd73,Measuring Information Technology Payoff: A Meta-Analysis of Structural Variables in Firm-Level Empirical Research,"['structural variables', 'discriminant analysis', 'it investment', 'analysis method', 'statistical analysis', 'firm performance', 'structural variable', 'measuring information technology payoff', 'it payoff', 'meta analysis', 'firm-level empirical study', 'it payoff study', 'firm-level empirical research', 'logistic regression', 'information technology', 'empirical research']","['Econometrics', 'Economics', 'Ordinary least squares', 'Variables', 'Linear discriminant analysis', 'Meta-analysis', 'Statistics', 'Logistic regression', 'Sample size determination', 'Empirical research', 'Stochastic game']","Payoffs from information technology (IT) continue to generate interest and debate both among academicians and practitioners. The extant literature cites inadequate sample size, lack of process orientation, and analysis methods among the reasons some studies have shown mixed results in establishing a relationship between IT investment and firm performance.In this paper we examine the structural variables that affect IT payoff through a meta analysis of 66 firm-level empirical studies between 1990 and 2000. Employing logistic regression and discriminant analyses, we present statistical evidence of the characteristics that discriminate between IT payoff studies that observed a positive effect and those that did not. In addition, we conduct ordinary least squares (OLS) regression on a continuous measure of IT payoff to examine the influence of structural variables on the result of IT payoff studies.The results indicate that the sample size, data source (firm-level or secondary), and industry in which the study is conducted influence the likelihood of the study finding greater improvements on firm performance. The choice of the dependent variable(s) also appears to influence the outcome (although we did not find support for process-oriented measurement), the type of statistical analysis conducted, and whether the study adopted a cross-sectional or longitudinal design. Finally, we present implications of the findings and recommendations for future research."
23921,53e99f03b7602d97027d259f,Information Technology Payoff in E-Business Environments: An International Perspective on Value Creation of E-Business in the Financial Services Industry,"['developed country', 'International Perspective', 'E-Business Environments', 'e-business value', 'financial resource', 'e-business value shift', 'technology readiness', 'Financial Services Industry', 'e-business transformation', 'firm size', 'Information Technology Payoff', 'value creation', 'Value Creation', 'global scope', 'regulatory environment']","['Survey data collection', 'Economics', 'Electronic business', 'Business value', 'Structural equation modeling', 'Information technology', 'Financial services', 'Developing country', 'Industrial organization', 'Marketing', 'Stochastic game']","Grounded in the technology-organization-environment (TOE) framework, we develop a research model for assessing the value of e-business at the firm level. Based on this framework, we formulate six hypotheses and identify six factors (technology readiness, firm size, global scope, financial resources, competition intensity, and regulatory environment) that may affect value creation of e-business. Survey data from 612 firms across 10 countries in the financial services industry were collected and used to test the theoretical model. To examine how e-business value is influenced by economic environments, we compare two subsamples from developed and developing countries. Based on structural equation modeling, our empirical analysis demonstrates several key findings: (1) Within the TOE framework, technology readiness emerges as the strongest factor for e-business value, while financial resources, global scope, and regulatory environment also significantly contribute to e-business value. (2) Firm size is negatively related to e-business value, suggesting that structural inertia associated with large firms tends to retard e-business value. (3) Competitive pressure often drives firms to adopt e-business, but e-business value is associated more with internal organizational resources (e.g., technological readiness) than with external pressure to adopt. (4) While financial resources are an important factor in developing countries, technological capabilities become far more important in developed countries. This suggests that as firms move into deeper stages of e-business transformation, the key determinant of e-business value shifts from monetary spending to higher dimensions of organizational capabilities. (5) Government regulation plays a much more important role in developing countries than in developed countries. These findings indicate the usefulness of the proposed research model and theoretical framework for studying e-business value. They also provide insights for both business managers and policy-makers."
23988,53e99f0ab7602d97027d7183,Noncooperative versus cooperative R&D with endogenous spillover rates,"['C72', 'L13', 'O31']","['Economics', 'Mathematical economics', 'Product market', 'Microeconomics', 'Spillover effect']","This paper deals with a general version of a two-stage model of R&D and product market competition. We provide a thorough generalization of previous results on the comparative performance of noncooperative and cooperative R&D, dispensing in particular with ex-post firm symmetry and linear demand assumptions. We also characterize the structure of profit-maximizing R&D cartels where firms competing in a product market jointly decide R&D expenditure, as well as internal spillover, levels. We establish the firms would essentially always prefer extremal spillovers, and within the context of a standard specification, derive conditions for the optimality of minimal spillover."
24004,53e99f0ab7602d97027d84df,Self-serving interpretations of ambiguity in other-regarding behavior,"['C91', 'D64', 'D80']","['Social preferences', 'Economics', 'Altruism', 'Microeconomics', 'Lottery', 'Ambiguity', 'Payment', 'Dictator game', 'Ambiguity aversion', 'Dictator']","We demonstrate that people can adopt a favorable view of ambiguous risks relative to ones with known probabilities, contrary to the usual attitude of ambiguity aversion, when doing so permits justification for unfair behavior. We use binary dictator games involving a choice between a relatively equitable allocation and an “unfair” allocation that is both less generous and makes the recipient's payment dependent on a p=0.5 lottery. Dictators choose the unfair option more frequently when the recipient's allocation depends on an ambiguous lottery than on a lottery with a known probability — even though the objective distributions of outcomes are identical under the two kinds of lotteries. Dictators' estimates of the expected value of the recipients' allocations are inflated under ambiguity, indicating that dictators form self-serving beliefs about ambiguity. Finally, increased unfair behavior under ambiguity is extinguished when dictators are constrained by their own initial unmotivated, and negative, attitudes towards ambiguity."
24070,53e99f11b7602d97027dd00e,Research Note---Information Technology in Supply Chains: The Value of IT-Enabled Resources Under Competition,"['it value', 'it-enabled supply chain', 'supply chain process', 'it-enabled resources', 'backend integration', 'integration capability', 'managerial skill', 'it value creation', 'information technology', 'managerial resource', 'supply chain', 'research note', 'supply chains', 'supply chain context', 'managerial skills', 'competition', 'intangible resources']","['Resource-based view', 'Economics', 'Service management', 'Transaction cost', 'Skills management', 'Information technology', 'Microeconomics', 'Strategic management', 'Value of information', 'Supply chain', 'Industrial organization']","In this study, we seek to better understand the value of information technology (IT) in supply chain contexts. Grounded in the resource-based theory in conjunction with transaction cost economics, we develop a conceptual model that links three IT-related resources (backend integration, managerial skills, and partner support) to firm performance improvement. The model differs from previous studies by proposing a moderating effect of competition on the resource-performance relationships. Using data of 743 manufacturing firms, our analysis indicates significant contribution of IT to supply chains, which is generated through development of the digitally enabled integration capability and manifested at the process level along the supply chain. The technological resource alone, however, does not hold the answer to IT value creation. In fact, managerial skills, which enable adaptations on supply chain processes and corporate strategy to accommodate the use of IT, are shown to play the strongest role in IT value creation. Furthermore, backend integration and managerial skills are found to be more valuable in more competitive environments. While commodity-like resources have diminishing value under competition, integrational and managerial resources become even stronger. Overall, our results shed light on the key drivers of IT-enabled supply chains, and provide insights into how competition shapes IT value."
24374,53e99f2db7602d97027f9241,Inventory Control with Limited Capacity and Advance Demand Information,"['capacity', 'satisfiability', 'forecasting', 'markov', 'stochastic optimization', 'inventory control', 'dynamic programming', 'fixed cost', 'production system', 'information technology']","['Dynamic programming', 'Economics', 'Demand patterns', 'Time horizon', 'Demand forecasting', 'Information technology', 'Microeconomics', 'Fixed cost', 'Operations research', 'Inventory control', 'Demand management']","Manufacturers make production decisions and carry inventory to satisfy uncertain demand. When holding and shortage costs are high, carrying inventory could be even more expensive for acapacitated production system. Recent developments in information technology and sales strategies enabled firms to acquire, collect, or induce advance demand information. We address a periodic-review, stochastic, capacitated, finite and infinite horizon production system faced by a manufacturer who has the ability to obtain advance demand information. We establish optimal policies and characterize their behavior with respect to capacity, fixed costs, advance demand information, and the planning horizon. With a numerical study, we quantify the value of advance demand information and additional capacity for specific problem instances. We illustrate how advance demand information can be a substitute for capacity and inventory."
24521,53e99f3ab7602d9702807915,Channel coordination under fairness concerns and nonlinear demand,"['Supply chain management', 'Fairness', 'Channel coordination', 'Stackelberg game', 'Wholesale price contract']","['Channel coordination', 'Economics', 'Benefice', 'Microeconomics', 'Communication channel', 'Demand curve', 'Supply chain management', 'Supply chain', 'Monopolistic competition', 'Stackelberg competition']","The supply chain literature analyzing supplier–retailer contracts and channel coordination has typically focused on profit or revenue maximization as the members’ sole objective. In such settings, it is well known that a simple wholesale price contract is not effective in coordinating the channel due to double marginalization. Recently, Cui et al. [Cui, T.H., Raju, J.S., Zhang, Z.J., 2007. Fairness and channel coordination. Management Science 53 (8) 1303–1314] introduced the members’ fairness concerns into channel coordination. Assuming a linear demand function, the authors show that a coordinating wholesale price contract can be designed when only the retailer or both parties are concerned about fairness. In this paper, we extend the authors’ results to other nonlinear demand functions that are commonly used in the literature. Our analysis reveals that, compared to the linear demand, the exponential demand function requires less stringent conditions to achieve coordination when only the retailer is fairness-concerned."
24601,53e99f41b7602d970280f050,An experimental study of price dispersion,"['C72', 'C92']","['Market structure', 'Economics', 'Ask price', 'Microeconomics', 'Law of one price', 'Limit price', 'Price dispersion', 'Mid price', 'Comparative statics']","We report an experiment examining a simple clearinghouse model that generates price dispersion. According to this model, price dispersion arises because of consumer heterogeneity—some consumers are “informed” and simply buy from the firm offering the lowest price, while the remaining consumers are “captive” and shop based on considerations other than price. In our experiment we observe substantial and persistent price dispersion. We find that, as predicted, an increase in the fraction of informed consumers leads to more competitive pricing for all consumers. We also find, as predicted, that when more firms enter the market, prices to informed consumers become more competitive while prices to captive customers become less competitive. Thus, our experiment provides strong support for the model's comparative static predictions about how changes in market structure affect pricing."
24609,53e99f41b7602d970280f1d0,An experimental study of costly coordination,"['C72', 'C92']","['Coordination game', 'Mathematical optimization', 'Mathematical economics', 'Economics', 'Risk dominance', 'Epsilon-equilibrium', 'Price of stability', 'Best response', 'Equilibrium selection', 'Nash equilibrium', 'Maximization']","This paper reports data for coordination game experiments with random matching. The experimental design is based on changes in an effort-cost parameter, which do not alter the set of Nash equilibria nor do they alter the predictions of adjustment theories based on imitation or best response dynamics. As expected, however, increasing the effort cost lowers effort levels. Maximization of a stochastic potential function, a concept that generalizes risk dominance to continuous games, predicts this reduction in efforts. An error parameter estimated from initial two-person, minimum-effort games is used to predict behavior in other three-person coordination games."
24611,53e99f42b7602d970280f96e,Multiple criteria linear programming model for portfolio selection.,"['portfolio selection', 'multiple criteria', 'linear programming', 'equity']","['Economics', 'Mathematical optimization', 'Stochastic dominance', 'Modern portfolio theory', 'Post-modern portfolio theory', 'Portfolio', 'Efficient frontier', 'Portfolio optimization', 'Black–Litterman model', ""Merton's portfolio problem""]","The portfolio selection problem is usually considered as a bicriteria optimization problem where a reasonable trade-off between
 expected rate of return and risk is sought. In the classical Markowitz model the risk is measured with variance, thus generating
 a quadratic programming model. The Markowitz model is frequently criticized as not consistent with axiomatic models of preferences
 for choice under risk. Models consistent with the preference axioms are based on the relation of stochastic dominance or on
 expected utility theory. The former is quite easy to implement for pairwise comparisons of given portfolios whereas it does
 not offer any computational tool to analyze the portfolio selection problem. The latter, when used for the portfolio selection
 problem, is restrictive in modeling preferences of investors. In this paper, a multiple criteria linear programming model
 of the portfolio selection problem is developed. The model is based on the preference axioms for choice under risk. Nevertheless,
 it allows one to employ the standard multiple criteria procedures to analyze the portfolio selection problem. It is shown
 that the classical mean-risk approaches resulting in linear programming models correspond to specific solution techniques
 applied to our multiple criteria model."
24733,53e99f48b7602d9702819ee2,The roles of players and reputation: evidence from eBay online auctions,"['online auction', 'ebay online auction', 'feedback history', 'reputation system', 'asymmetric information', 'analytical model', 'popular online auction website', 'product quality', 'reputation', 'empirical evidence', 'online feedback mechanism', 'feedback mechanism']","['Market liquidity', 'Economics', 'Reputation system', 'Advertising', 'Empirical evidence', 'Credibility', 'Common value auction', 'Online auction', 'Marketing', 'Reputation']","The uncertainty about product quality and the traders' credibility may impede the liquidity and efficiency of online auctions. In contrast to the literature on online feedback mechanisms that evaluate sellers' reputation without distinguishing their roles in the transactions, we claim that ""not all reputation is created equal""- bidders in online auctions assess sellers' reputation based on their feedback history gained from sales solely. This paper explores the impact of the consumers' above behavior on the reputation system with an analytical model and empirical evidence from a popular online auction website eBay."
24758,53e99f48b7602d970281c75f,Jump Bidding Strategies in Internet Auctions,"['online auctions', 'early jump bidding', 'bidding costs', 'live auction', 'internet auctioneer', 'internet auctions', 'bid increase', 'jump bidding strategies', 'bidding cost', 'auction theory', 'jump bidding', 'fewer bid', 'internet auction', 'jump bidder', 'ascending-price auction']","['English auction', 'Auction sniping', 'Economics', 'Unique bid auction', 'Microeconomics', 'Auction theory', 'Real-time bidding', 'Proxy bid', 'Bidding', 'Ebidding']","Abidding strategy commonly observed in Internet auctions is that of ""jump bidding,"" or entering a bid larger than what is necessary to be a currently winning bidder. In this paper, we argue that the cost associated with entering online bids and the uncertainty about future entry--both of which distinguish Internet from live auctions--can explain this behavior. We present a simple theoretical model that includes the preceding characteristics, and derive the conditions under which jump bidding arises in a format commonly used for online trading, the ascending-price auction. We also present evidence, recorded from hundreds of Internet auctions, that is consistent with some of the basic predictions from our model. We find that jump bidding is more likely earlier in an auction, when jumping has a larger strategic value, and that the incentives to jump bid increase as competition increases. Our results also indicate that jump bidding is effective: Jump bidders place fewer bids overall, and increased early jump bidding deters entry later in the auction. We also discuss possible means of reducing bidding costs and evidence that Internet auctioneers are pursuing this goal."
24779,53e99f4fb7602d970281ecf8,Business value of information technology: a study of electronic data interchange,"['chrysler corporation', 'parts complexity', 'information technology', 'operational complexity', 'performance data', 'firm performance', 'additional saving', 'vehicle amount', 'electronic data interchange', 'business value', 'improved information exchange']","['Corporation', 'Economics', 'Business value', 'Electronic data interchange', 'Engineering management', 'Information technology', 'Operations research', 'Electronic document', 'Interorganizational systems', 'Operational complexity', 'Liberian dollar']","A great deal of controversy exists about the impact of information technology on firm performance. While some authors have reported positive impacts, others have found negative or no impacts. This study focuses on Electronic Data Interchange (EDI) technology. Many of the problems in this line of research are over-come in this study by conducting a careful analysis of the performance data of the past decade gathered from the assembly centers of Chrysler Corporation. This study estimates the dollar benefits of improved information exchanges between Chrysler and its suppliers that result from using EDI. After controlling for variations in operational complexity arising from mix, volume, parts complexity, model, and engineering changes, the savings per vehicle that result from improved information exchanges are estimated to be about $60. Including the additional savings from electronic document preparation and transmission, the total benefits of EDI per vehicle amount to over $100. System wide, this translates to annual savings of $220 million for the company."
24786,53e99f4fb7602d97028200ac,A New and Improved Design for Multiobject Iterative Auctions,"['experimental test', 'different auction process', 'better feature', 'auction process', 'multiobject iterative auctions', 'rad auction', 'experimental approach', 'multiobject auction', 'improved design', 'new improved design', 'crucial new feature', 'new design', 'resource allocation', 'combinatorial auctions', 'spectrum', 'auctions', 'experimental economics', 'combinatorial auction']","['Vickrey auction', 'Economics', 'Mathematical optimization', 'Combinatorial auction', 'Generalized second-price auction', 'Vickrey–Clarke–Groves auction', 'Auction theory', 'Common value auction', 'Revenue equivalence', 'Auction algorithm']","In this paper we present a new improved design for multiobject auctions and report on the results of experimental tests of that design. We merge the better features of two extant but very different auction processes, the Simultaneous Multiple Round (SMR) design used by the FCC to auction the electromagnetic spectrum and the Adaptive User Selection Mechanism (AUSM) of Banks et al. (1989, ""Allocating uncertain and unresponsive resources: An experimental approach,"" RAND Journal of Economics, Vol. 20, No. 1, pp. 1-25). Then, by adding one crucial new feature, we are able to create a new design, the Resource Allocation Design (RAD) auction process, which performs better than both. Our experiments demonstrate that the RAD auction achieves higher efficiencies, lower bidder losses, higher net revenues, and faster times to completion without increasing the complexity of a bidder's problem."
25005,53e99f64b7602d97028338fb,Non-Additive Beliefs and Strategic Equilibria,"['choquet integral', 'non-addititve probability', 'equilibrium concepts', 'uncertainty aversion', 'nash equilibria']","['Correlated equilibrium', 'Econometrics', 'Economics', 'Mathematical economics', 'Epsilon-equilibrium', 'Risk dominance', 'Price of stability', 'Best response', 'Equilibrium selection', 'Nash equilibrium', 'Trembling hand perfect equilibrium']","This paper studies n -player games where players' beliefs about their opponents' behaviour are modelled as non-additive probabilities. The concept of an “equilibrium under uncertainty” which is introduced in this paper extends the equilibrium notion of Dow and Werlang (1994, J. Econom. Theory 64 , 305–324) to n -player games in strategic form. Existence of such an equilibrium is demonstrated under usual conditions. For low degrees of ambiguity, equilibria under uncertainty approximate Nash equilibria. At the other extreme, with a low degree of confidence, maximin equilibria appear. Finally, robustness against a lack of confidence may be viewed as a refinement for Nash equilibria. Journal of Economic Literature Classification Numbers: C72, D81."
25007,53e99f64b7602d970283437b,An investigation into the relationship between size and efficiency of the Italian hospitality sector: A window DEA approach,"['Window data envelopment analysis', 'Efficiency', 'Hotel size', 'Regional analysis']","['Econometrics', 'Economic efficiency', 'Economics', 'Hospitality', 'Data envelopment analysis', 'Efficiency comparison']","This paper analyses the efficiency of hotels across all of the 20 regions in Italy using a data envelopment analysis (DEA). The empirical results indicate that Sardinia can be considered as a region “falling further behind”, whereas some regions in the North and Centre of Italy can be regarded as “moving ahead”. Using the island of Sardinia as a case study, approximately 150 firms are analysed in detail over the time span 2002–2005. Via a window DEA, both technical and scale efficiencies are computed. An efficiency comparison amongst hotels categorised by size and municipality is run. Finally, policy implications are drawn from the empirical findings that advise how to improve hotels that attained low efficiency scores."
25384,53e99f86b7602d9702858021,A stochastic model for risk management in global supply chain networks,"['Supply chains', 'Risk Management', 'Stochastic programming', 'Moreau–Yosida regularization']","['Service management', 'Mathematical economics', 'Economics', 'Risk analysis (business)', 'Supply chain risk management', 'Risk analysis (engineering)', 'Risk management', 'Supply chain', 'Stochastic modelling', 'Profit maximization', 'Stochastic programming']","With the increasing emphasis on supply chain vulnerabilities, effective mathematical tools for analyzing and understanding appropriate supply chain risk management are now attracting much attention. This paper presents a stochastic model of the multi-stage global supply chain network problem, incorporating a set of related risks, namely, supply, demand, exchange, and disruption. We provide a new solution methodology using the Moreau–Yosida regularization, and design an algorithm for treating the multi-stage global supply chain network problem with profit maximization and risk minimization objectives."
25788,53e99fa9b7602d970287fcdf,Managing information technology investments using a real-options approach.,"['IT infrastructure investments', 'real options', 'business capabilities', 'investment management process']","['Management process', 'Traditional investments', 'Economics', 'Information technology', 'Inversion (meteorology)', 'Firm strategy', 'Capital budgeting', 'Investment decisions', 'Industrial organization', 'Strategic planning', 'Operations management']","Investments in IT have become a dominant part of the capital budgets of many organizations. While the costs seem readily identifiable, many of the benefits are elusive. In this paper we develop a formal and practical methodology to evaluate information technology infrastructure investments. Our experience in using this approach has shown that it not only impacts the outcome but also improved understanding of how to align operating drivers with business capabilities and investment decisions. Thus, the real value of the real options approach is in how it informs the management process of IT investments. (C) 2000 Elsevier Science B.V. All rights reserved."
25810,53e99fa9b7602d9702880960,Analyzing Enterprise Architecture in National Governments: The Cases of Denmark and the Netherlands,"['analytical framework', 'national governments', 'european national government', 'active player', 'broader perspective', 'analyzing enterprise architecture', 'institutional theory', 'national enterprise architecture', 'nea adoption', 'architectural initiative', 'institutional environment', 'enterprise architecture', 'public administration']","['Institutional theory', 'Economics', 'Corporate governance', 'Enterprise architecture', 'Enterprise software', 'Public relations', 'Knowledge management', 'Enterprise information security architecture', 'Enterprise integration', 'Business architecture', 'Enterprise architecture management']","National enterprise architectures (NEA) promise to fill the gap between policy and implementation. NEAs are embedded within an institutional environment consisting of active players capable of responding strategically and innovatively to architectural initiatives, which might complicate NEA adoption. In this paper we analyze the efforts of two European national governments in developing enterprise architecture. Grounded in institutional theory and practice we develop an analytical framework and use this framework to analyze the efforts of two countries, Denmark and the Netherlands. Our framework and analysis draws the attention to the need to take a broader perspective on enterprise architecture, especially governance aspects determine the adoption and diffusion of NEA."
25821,53e99fa9b7602d9702881624,Recent developments in consumer credit risk assessment,"['Finance', 'OR in banking', 'Risk analysis']","['Credit history', 'Population', 'Economics', 'Benefice', 'Actuarial science', 'Data quality', 'Credit reference', 'Risk analysis (business)', 'Risk management tools', 'Risk assessment']","Consumer credit risk assessment involves the use of risk assessment tools to manage a borrower’s account from the time of pre-screening a potential application through to the management of the account during its life and possible write-off. The riskiness of lending to a credit applicant is usually estimated using a logistic regression model though researchers have considered many other types of classifier and whilst preliminary evidence suggest support vector machines seem to be the most accurate, data quality issues may prevent these laboratory based results from being achieved in practice. The training of a classifier on a sample of accepted applicants rather than on a sample representative of the applicant population seems not to result in bias though it does result in difficulties in setting the cut off. Profit scoring is a promising line of research and the Basel 2 accord has had profound implications for the way in which credit applicants are assessed and bank policies adopted."
25862,53e99fafb7602d970288618a,On two competing mechanisms for priority-based allocation problems,"['C78', 'C79', 'D61', 'D78', 'I20']","['Converse', 'Monotonic function', 'Mathematical economics', 'Economics', 'Microeconomics', 'If and only if', 'Top trading cycles', 'Residence']","We consider the priority-based allocation problem: there is a set of indivisible objects with multiple supplies (e.g., schools with seats) and a set of agents (e.g., students) with priorities over objects (e.g., proximity of residence area). We study two well-known and competing mechanisms. The agent-optimal stable mechanism (AOSM) allots objects via the deferred acceptance algorithm. The top trading cycles mechanism (TTCM) allots objects via Gale's top trading cycles algorithm. We show that the two mechanisms are equivalent, or TTCM is fair (i.e., respects agents’ priorities), or resource monotonic, or population monotonic, if and only if the priority structure is acyclic. Furthermore, if AOSM fails to be efficient (consistent) for a problem, TTCM also fails to be fair (consistent) for it. However, the converse is not necessarily true."
25911,53e99fb4b7602d970288b027,An optimal replenishment policy for deteriorating items with time-varying demand and partial backlogging,"['partial backlogging', 'lost sale', 'non-constant purchase cost', 'inventory model', 'shortages', 'time-varying demand', 'negative exponential rate', 'deterioration', 'lost sizing', 'optimal replenishment policy', 'inventory']","['Econometrics', 'Negative exponential', 'Economics', 'Waiting time', 'Lost sales', 'Purchase cost', 'Economic shortage']","Recently, Papachristos and Skouri developed an inventory model in which unsatisfied demand is partially backlogged at a negative exponential rate with the waiting time. In this article, we complement the shortcoming of their model by adding not only the cost of lost sales but also the non-constant purchase cost."
25922,53e99fb4b7602d970288be54,"Six myths of information and markets: information technology networks, electronic commerce, and the battle for consumer surplus","['low price guarantee', 'counter myth', 'conventional view', 'powerful information network', 'consumer side', 'consumer surplus', 'broader view', 'competitive market', 'information technology network', 'information technology', 'electronic commerce', 'price competition', 'competitive equilibrium']","['Corporate governance', 'Economics', 'Information technology', 'Outsourcing', 'Competitive equilibrium', 'Economic surplus', 'Pricing strategies', 'Customer base', 'Marketing', 'Personalization']","The infusion of powerful information networks into business environments is beginning to have a profound impact on the nature of governance between buyers and sellers in the marketplace. Most articles in this area emphasize the benefits to the consumer side of the equation due to reduced coordination, search, and transactional costs. This article presents a broader view of information and markets by elucidating innovative ways that sellers can survive in intensely competitive markets. The article is framed in terms of six myths and counter myths of information technology and effective markets. The myths provide a conventional view of how increased customization and outsourcing, open architectures, a larger customer base, and low price guarantees will benefit the buyer. The counter myths illustrate that it is altogether feasible for IT to enable supplier strategies that extract consumer surplus. For instance, suppliers could use IT to price discriminate by tailoring product offerings and charging buyers as much as they are willing to pay. They could also segment markets making comparative shopping difficult, thus avoiding the competitive equilibrium. Also, suppliers could focus on the creation of networks that lock in customers or follow aggressive pricing strategies that deter price competition. Both the myths and counter myths are presented and examined in a polemical format using simple, fundamental economic arguments. We hope to provide provocative new avenues for discourse in this area by recognizing the complexity of interactions between buyers and suppliers in a highly networked environment"
